timestamp,marker_id,x_base,y_base,z_base
852.240000,5,0.421910,0.017051,0.216228
852.240000,6,0.379889,0.120414,0.217318
852.240000,4,0.415059,0.071648,0.222786
852.240000,3,0.410667,0.122005,0.224784
852.240000,1,0.442740,0.074293,0.232107
852.240000,0,0.438845,0.124261,0.231751
852.275000,10,0.362982,0.053924,0.154897
852.275000,8,0.389386,0.011886,0.207243
852.275000,9,0.351110,0.116098,0.208227
852.275000,7,0.384330,0.067270,0.218353
852.275000,5,0.421241,0.013908,0.215508
852.275000,6,0.381554,0.117536,0.216374
852.275000,4,0.413719,0.068936,0.223791
852.275000,3,0.410345,0.119564,0.222740
852.275000,1,0.442446,0.071077,0.230485
852.275000,0,0.438606,0.121235,0.230577
852.312000,10,0.354801,0.067963,0.210002
852.312000,8,0.389884,0.015087,0.208255
852.312000,9,0.351529,0.118690,0.210461
852.312000,7,0.383389,0.070232,0.218104
852.312000,5,0.422731,0.016939,0.214932
852.312000,6,0.379953,0.120543,0.217357
852.312000,4,0.414272,0.072262,0.225020
852.312000,3,0.410342,0.121622,0.225310
852.312000,1,0.442598,0.073686,0.231992
852.312000,0,0.438299,0.123690,0.232483
852.374000,10,0.363778,0.053951,0.154881
852.374000,8,0.388775,0.012703,0.209224
852.374000,9,0.350681,0.116051,0.210017
852.374000,7,0.385097,0.067139,0.216476
852.374000,5,0.421385,0.014271,0.215580
852.374000,6,0.379287,0.117886,0.216696
852.374000,4,0.414076,0.069950,0.223446
852.374000,3,0.410161,0.119946,0.224238
852.374000,1,0.442328,0.072178,0.231467
852.374000,0,0.438342,0.122177,0.231167
852.409000,10,0.354148,0.067323,0.211705
852.409000,8,0.391582,0.013818,0.208167
852.409000,9,0.353273,0.117684,0.208990
852.409000,7,0.385447,0.068946,0.216676
852.409000,5,0.422666,0.015298,0.213971
852.409000,6,0.379614,0.119391,0.217055
852.409000,4,0.413923,0.071120,0.224825
852.409000,3,0.410390,0.121323,0.224486
852.409000,1,0.442923,0.073075,0.231291
852.409000,0,0.438166,0.123290,0.232345
852.475000,10,0.354398,0.067228,0.209745
852.475000,8,0.392069,0.013586,0.207124
852.475000,9,0.353373,0.117968,0.209086
852.475000,7,0.382990,0.069493,0.217826
852.475000,5,0.422041,0.016254,0.215071
852.475000,6,0.381826,0.119884,0.217558
852.475000,4,0.414477,0.071273,0.223973
852.475000,3,0.410118,0.121619,0.225228
852.475000,1,0.442875,0.073450,0.231189
852.475000,0,0.438527,0.123932,0.232329
852.541000,10,0.353619,0.065984,0.212056
852.541000,8,0.389302,0.012344,0.207854
852.541000,9,0.352987,0.116318,0.208680
852.541000,7,0.384480,0.067880,0.218439
852.541000,5,0.421407,0.014534,0.215522
852.541000,6,0.381691,0.118149,0.216543
852.541000,4,0.413863,0.069788,0.224328
852.541000,3,0.410478,0.120175,0.222926
852.541000,1,0.442588,0.071683,0.230606
852.541000,0,0.438093,0.121886,0.231753
852.607000,10,0.356455,0.066316,0.209831
852.607000,8,0.389297,0.013457,0.208280
852.607000,9,0.350816,0.117248,0.210144
852.607000,7,0.382450,0.068884,0.219096
852.607000,5,0.421704,0.015313,0.215605
852.607000,6,0.379564,0.118907,0.216956
852.607000,4,0.413901,0.070682,0.224148
852.607000,3,0.409330,0.120803,0.226629
852.607000,1,0.442259,0.071724,0.231382
852.607000,0,0.437872,0.121767,0.231950
852.643000,10,0.353759,0.065979,0.210944
852.643000,8,0.391661,0.011753,0.206856
852.643000,9,0.353132,0.116348,0.208095
852.643000,7,0.385230,0.067687,0.216626
852.643000,5,0.421570,0.014817,0.215633
852.643000,6,0.381499,0.118512,0.217245
852.643000,4,0.413758,0.070176,0.224799
852.643000,3,0.410410,0.120479,0.223310
852.643000,1,0.442621,0.072070,0.231097
852.643000,0,0.439779,0.122652,0.228700
852.710000,10,0.362875,0.053731,0.154893
852.710000,8,0.389296,0.011715,0.207249
852.710000,9,0.350824,0.115827,0.209048
852.710000,7,0.384381,0.067597,0.218408
852.710000,5,0.421304,0.014246,0.215519
852.710000,6,0.381595,0.117864,0.216476
852.710000,4,0.413768,0.069265,0.223853
852.710000,3,0.409644,0.119641,0.224695
852.710000,1,0.442494,0.071405,0.230555
852.710000,0,0.438002,0.121609,0.231666
852.774000,10,0.354133,0.067561,0.211117
852.774000,8,0.389800,0.014266,0.207854
852.774000,9,0.351183,0.118111,0.209823
852.774000,7,0.385250,0.069664,0.218059
852.774000,5,0.422173,0.016251,0.215023
852.774000,6,0.379867,0.120135,0.216522
852.774000,4,0.414039,0.070755,0.224364
852.774000,3,0.409989,0.121092,0.225067
852.774000,1,0.442739,0.072925,0.231081
852.774000,0,0.437089,0.122812,0.229941
852.811000,10,0.353995,0.065943,0.210155
852.811000,8,0.388977,0.013448,0.209222
852.811000,9,0.350899,0.116895,0.209200
852.811000,7,0.385275,0.067868,0.216579
852.811000,5,0.421582,0.015015,0.215601
852.811000,6,0.379250,0.117853,0.216690
852.811000,4,0.413579,0.069637,0.223977
852.811000,3,0.410038,0.119422,0.224081
852.811000,1,0.442198,0.071657,0.231362
852.811000,0,0.438223,0.121656,0.230994
852.875000,10,0.354146,0.066354,0.210181
852.875000,8,0.389764,0.012682,0.207204
852.875000,9,0.353304,0.116959,0.208247
852.875000,7,0.382818,0.068329,0.217375
852.875000,5,0.422354,0.014492,0.213773
852.875000,6,0.381851,0.118687,0.216676
852.875000,4,0.413535,0.070602,0.225346
852.875000,3,0.410634,0.120709,0.223078
852.875000,1,0.442277,0.072542,0.232053
852.875000,0,0.438244,0.122414,0.231922
852.940000,10,0.354077,0.066540,0.211186
852.940000,8,0.389192,0.013875,0.208892
852.940000,9,0.351287,0.117102,0.207761
